,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:42:13.578849500,0.37070128,0.8686731,0.3273239,0.0020386607,0.015363939,0.004459762,68.0,0.0,0,0,0,1,0,-132.44058,7.94706,-187.2667
2023-06-10 09:42:14.078849500,0.37252435,0.868194,0.32642254,0.007147908,-0.0012372194,-0.0035323477,,,0,0,0,1,0,-132.46396,7.8584948,-187.2567
2023-06-10 09:42:14.578849500,0.37441924,0.8682022,0.32551634,0.0047488688,0.00878123,0.0059858593,,0.0,0,0,0,1,0,-132.55188,7.8261485,-187.15521
2023-06-10 09:42:15.078849500,0.37422517,0.86792266,0.326669,0.006235748,0.0010775693,-0.0067947404,,,0,0,0,1,0,-132.59338,7.8011684,-187.05214
2023-06-10 09:42:15.578849500,0.37310076,0.868298,0.32636464,0.00322169,0.0058985343,0.00043013776,,0.0,0,0,0,1,0,-132.46402,7.7053576,-187.02213
2023-06-10 09:42:16.078849500,0.37230775,0.86783755,0.32784975,0.005886209,0.006252442,-0.005151965,,,0,0,0,1,0,-132.56921,7.790906,-187.29053
2023-06-10 09:42:16.578849500,0.37237275,0.8711792,0.32142913,0.049558613,0.06343049,0.03429091,,0.0,0,0,0,1,0,-132.54973,8.204422,-187.55826
2023-06-10 09:42:17.078849500,0.37131172,0.868307,0.32739818,-0.022805043,-0.002644183,-0.00880465,,,0,0,0,1,0,-133.04648,8.538982,-188.03099
2023-06-10 09:42:17.578849500,0.37944397,0.8661761,0.32522368,-0.011026393,-0.055409912,-0.020068225,,0.0,0,0,0,1,0,-132.6278,7.965888,-187.082
2023-06-10 09:42:18.078849500,0.3741452,0.866326,0.32947358,-0.004162423,0.012643243,-0.0007954319,,,0,0,0,1,0,-132.53397,7.900093,-186.7187
2023-06-10 09:42:18.578849500,0.37249726,0.8656931,0.3320465,0.0033419582,-0.002225039,-0.010237271,,0.0,0,0,0,1,0,-132.64847,8.009397,-186.72734
2023-06-10 09:42:19.078849500,0.37134644,0.86803925,0.33095732,0.00029661236,0.0025855673,-0.0027442756,,,0,0,0,1,0,-132.73262,7.872158,-186.51236
2023-06-10 09:42:19.578849500,0.37108,0.8666043,0.3323062,0.0106382305,0.0008962352,0.0035074211,,0.0,0,0,0,1,0,-132.70157,7.9362426,-186.68376
2023-06-10 09:42:20.078849500,0.3722939,0.8691465,0.32747418,0.000117078045,0.005607184,-0.004986849,,,0,0,0,1,0,-132.72955,7.878559,-186.76357
2023-06-10 09:42:20.578849500,0.37197846,0.86197263,0.33761108,0.008008956,0.015441461,0.011802011,,0.0,0,0,0,1,0,-132.75641,7.858113,-186.5213
2023-06-10 09:42:21.078849500,0.37685698,0.8659167,0.33130586,0.007469145,-0.024340216,-0.002779938,,,0,0,0,1,0,-132.49014,7.773945,-186.5425
2023-06-10 09:42:21.578849500,0.38703638,0.8653717,0.32057407,0.07921675,0.1413604,0.0628479,,0.0,0,0,0,1,0,-132.36266,8.807967,-187.96635
2023-06-10 09:42:22.078849500,0.36901367,0.86546785,0.33367676,-0.04134789,-0.057587672,-0.04504633,,,0,0,0,1,0,-133.30579,9.001241,-188.06802
2023-06-10 09:42:22.578849500,0.3791681,0.8667676,0.32845733,-0.0052852277,-0.013294859,-0.010420672,71.0,0.0,0,0,0,1,0,-132.81564,8.314298,-187.31255
2023-06-10 09:42:23.078849500,0.37209368,0.8649659,0.33580983,0.0060277777,0.026862187,0.00599925,,,0,0,0,1,0,-132.95787,8.396229,-187.33366
2023-06-10 09:42:23.578849500,0.37359375,0.86470675,0.33599183,0.0035430428,-0.0029896593,-0.002676349,70.0,0.0,0,0,0,1,0,-133.06638,8.350597,-187.31815
