,bpm,time
966,77.0,1686241636000000000
967,79.0,1686241641000000000
968,79.0,1686241643000000000
969,81.0,1686241650000000000
970,87.0,1686241656000000000
971,91.0,1686241660000000000
972,95.0,1686241662000000000
973,106.0,1686241667000000000
974,122.0,1686241691000000000
975,125.0,1686241696000000000
976,126.0,1686241700000000000
977,128.0,1686241703000000000
978,120.0,1686241710000000000
979,117.0,1686241712000000000
980,113.0,1686241720000000000
981,113.0,1686241722000000000
982,112.0,1686241731000000000
983,110.0,1686241734000000000
984,104.0,1686241737000000000
985,98.0,1686241744000000000
986,86.0,1686241751000000000
987,82.0,1686241756000000000
988,83.0,1686241761000000000
989,83.0,1686241763000000000
990,85.0,1686241767000000000
991,74.0,1686241776000000000
992,72.0,1686241781000000000
993,70.0,1686241783000000000
994,66.0,1686241791000000000
